,date,Q,H,Q_ssa,H_ssa
3289,2/1/2017,1230.0,244.0,-614.7828330058386,-79.69625816038125
3290,3/1/2017,1440.0,270.0,-653.6061082307334,-87.0318901332069
3291,4/1/2017,1520.0,279.0,-641.0172797950956,-87.09145364288068
3292,5/1/2017,1580.0,287.0,-546.5482328719042,-76.15162841361744
3293,6/1/2017,1500.0,277.0,-348.66841974714293,-51.89501511263985
3294,7/1/2017,1550.0,283.0,-40.52996226239401,-13.917860929441968
3295,8/1/2017,2140.0,357.0,358.80066789306215,35.154303858437196
3296,9/1/2017,3260.0,486.0,787.8853599676241,87.69461195391534
3297,10/1/2017,3620.0,525.0,1150.4427258205753,132.12139389380314
3298,11/1/2017,3690.0,532.0,1365.9250176169257,158.6705637464513
3299,12/1/2017,3740.0,538.0,1380.5590554344467,160.84802710161085
3300,13/1/2017,4010.0,565.0,1178.6969170887212,136.96211975546282
3301,14/1/2017,3640.0,526.0,784.0282090728317,90.26546280153525
3302,15/1/2017,2710.0,424.0,275.1519723782597,30.183996687886502
3303,16/1/2017,1870.0,324.0,-231.50816148508886,-29.622954596940055
3304,17/1/2017,1550.0,283.0,-623.5526353290688,-75.9068650317253
3305,18/1/2017,1390.0,264.0,-819.7517775916299,-98.84267578213547
3306,19/1/2017,1370.0,261.0,-781.9687885436376,-93.82680351534009
3307,20/1/2017,1460.0,272.0,-523.0631407405225,-62.370937744508026
3308,21/1/2017,1860.0,323.0,-103.53230687027991,-11.691454059450983
3309,22/1/2017,3140.0,472.0,368.6011651873283,45.25378498986039
3310,23/1/2017,3500.0,512.0,753.1998327342712,91.75718733701325
3311,24/1/2017,3560.0,519.0,952.3806599291856,116.03454631660999
3312,25/1/2017,3660.0,529.0,917.2858625062629,112.15731829280082
3313,26/1/2017,3310.0,491.0,645.1258124064282,79.69840351540742
3314,27/1/2017,2080.0,350.0,190.01698084480034,24.94756473821612
3315,28/1/2017,1280.0,250.0,-339.4261506397519,-39.28350381836645
3316,29/1/2017,1110.0,228.0,-832.4205409696149,-99.51887067511386
3317,30/1/2017,1120.0,230.0,-1201.956473987659,-145.03715683521887
3318,31/1/2017,1130.0,231.0,-1383.1189688196584,-167.6393286331144
3319,1/2/2017,1040.0,218.0,-1343.6470625924112,-163.1540263256623
3320,2/2/2017,979.0,211.0,-1087.4183400363531,-132.02101829805466
3321,3/2/2017,1130.0,231.0,-653.9174546284173,-79.27421528337086
3322,4/2/2017,1600.0,290.0,-111.32329863061621,-13.53840870237731
3323,5/2/2017,2960.0,452.0,453.7114083312638,54.47240344635847
3324,6/2/2017,3530.0,515.0,935.7953401574064,112.20668790524161
3325,7/2/2017,3730.0,536.0,1264.9380168973425,151.46625288050168
3326,8/2/2017,3520.0,514.0,1407.6340210782878,168.37141367575782
3327,9/2/2017,2920.0,448.0,1367.858582378069,163.34458619734178
3328,10/2/2017,3260.0,486.0,1182.0693295007334,140.6810358956935
3329,11/2/2017,3610.0,524.0,880.076749874346,104.23105830325439
3330,12/2/2017,2680.0,420.0,499.10104250500035,58.689568744981166
3331,13/2/2017,1500.0,277.0,112.67853026840297,12.662599734367483
3332,14/2/2017,1160.0,235.0,-206.2269339157689,-25.181137529138372
3333,15/2/2017,1330.0,256.0,-423.36041425410156,-50.76285703738971
3334,16/2/2017,1460.0,273.0,-538.2409415102655,-64.12674860682364
3335,17/2/2017,1470.0,273.0,-564.3885536768315,-66.88660299003841
3336,18/2/2017,1500.0,277.0,-525.5437965881674,-61.830463300028036
3337,19/2/2017,1150.0,233.0,-451.5085094693531,-52.615313468156515
3338,20/2/2017,982.0,212.0,-360.3804286590307,-41.52294866553087
3339,21/2/2017,1160.0,235.0,-266.7923520086595,-30.344276914131616
3340,22/2/2017,1300.0,253.0,-185.44531357962222,-20.820161441830486
3341,23/2/2017,1520.0,279.0,-123.38121030646775,-13.743103599024622
3342,24/2/2017,1530.0,281.0,-84.56472628582918,-9.463026083407893
3343,25/2/2017,1450.0,271.0,-66.49914814243982,-7.646304941318562
3344,26/2/2017,1140.0,232.0,-66.54520717563508,-8.03697145253444
3345,27/2/2017,958.0,208.0,-72.74894414140788,-9.14336590545689
3346,28/2/2017,1140.0,232.0,-76.31426157100509,-9.815154740158498
3347,1/3/2017,1320.0,254.0,-79.725578442301,-10.355343631865237
3348,2/3/2017,1410.0,266.0,-88.57137431720987,-11.488934765374017
3349,3/3/2017,1240.0,245.0,-108.80386271978186,-14.062938607808906
3350,4/3/2017,1190.0,239.0,-134.06437302207183,-17.356491734094817
3351,5/3/2017,1010.0,215.0,-152.18481796127878,-19.82020924129245
3352,6/3/2017,910.0,200.0,-146.74090539854575,-19.19076877356163
3353,7/3/2017,1140.0,233.0,-110.81075559835338,-14.453147647570146
3354,8/3/2017,1270.0,249.0,-52.71214143588233,-6.7462589374487205
3355,9/3/2017,1290.0,251.0,15.156212141606318,2.2433756664366857
3356,10/3/2017,1330.0,256.0,80.07833472563979,10.779734132219183
3357,11/3/2017,1430.0,269.0,129.01096296860578,17.11829676108524
3358,12/3/2017,1430.0,269.0,151.53254501456675,19.98037062354899
3359,13/3/2017,1470.0,274.0,143.15572689653314,18.842628798916383
3360,14/3/2017,1470.0,274.0,101.97452822060472,13.45425991865095
3361,15/3/2017,1330.0,256.0,34.44355073228655,4.639965729425728
3362,16/3/2017,1270.0,249.0,-44.40864863209053,-5.6999838189682706
3363,17/3/2017,1270.0,249.0,-117.78765339574025,-15.401917036910705
3364,18/3/2017,1200.0,239.0,-170.62785878815046,-22.461829701789032
3365,19/3/2017,977.0,210.0,-190.59331450169248,-25.18093294804207
3366,20/3/2017,912.0,200.0,-171.39172288752218,-22.725068227042502
3367,21/3/2017,1280.0,249.0,-120.60268053523225,-16.069763175721704
3368,22/3/2017,1520.0,280.0,-61.66005739137849,-8.266212265274413
3369,23/3/2017,1420.0,267.0,-14.223140029187185,-1.8720329202182224
3370,24/3/2017,1570.0,287.0,14.219081468604408,2.078368135485233
3371,25/3/2017,1580.0,288.0,17.238285174911184,2.724106271495206
3372,26/3/2017,1480.0,274.0,-1.7036987848119196,0.49526146356995504
